X,CH1,Start,Increment
Sequence,Volt,-6.00E-03,1.00E-06
0,-2.00E-02,,
1,-2.00E-02,,
2,-2.00E-02,,
3,-2.00E-02,,
4,-2.00E-02,,
5,-2.00E-02,,
6,-2.00E-02,,
7,-2.00E-02,,
8,-2.00E-02,,
9,-2.00E-02,,
10,-2.00E-02,,
11,-2.00E-02,,
12,-2.00E-02,,
13,-2.00E-02,,
14,-2.00E-02,,
15,-2.00E-02,,
16,-2.00E-02,,
17,-2.00E-02,,
18,-2.00E-02,,
19,-2.00E-02,,
20,-2.00E-02,,
21,-2.00E-02,,
22,-2.00E-02,,
23,-2.00E-02,,
24,-2.00E-02,,
25,-2.00E-02,,
26,-2.00E-02,,
27,-2.00E-02,,
28,-2.00E-02,,
29,-2.00E-02,,
30,-2.00E-02,,
31,-2.00E-02,,
32,-2.00E-02,,
33,-2.00E-02,,
34,-2.00E-02,,
35,-2.00E-02,,
36,-2.00E-02,,
37,-2.00E-02,,
38,-2.00E-02,,
39,-2.00E-02,,
40,-2.00E-02,,
41,-2.00E-02,,
42,-2.00E-02,,
43,-2.00E-02,,
44,-2.00E-02,,
45,-2.00E-02,,
46,-2.00E-02,,
47,-2.00E-02,,
48,-2.00E-02,,
49,-2.00E-02,,
50,-2.00E-02,,
51,-2.00E-02,,
52,-2.00E-02,,
53,-2.00E-02,,
54,-2.00E-02,,
55,-2.00E-02,,
56,-2.00E-02,,
57,-2.00E-02,,
58,-2.00E-02,,
59,-2.00E-02,,
60,-2.00E-02,,
61,-2.00E-02,,
62,-2.00E-02,,
63,-2.00E-02,,
64,-2.00E-02,,
65,-2.00E-02,,
66,-2.00E-02,,
67,-2.00E-02,,
68,-2.00E-02,,
69,-2.00E-02,,
70,-2.00E-02,,
71,-2.00E-02,,
72,-2.00E-02,,
73,-2.00E-02,,
74,-2.00E-02,,
75,-2.00E-02,,
76,-2.00E-02,,
77,-2.00E-02,,
78,-2.00E-02,,
79,-2.00E-02,,
80,-2.00E-02,,
81,-2.00E-02,,
82,-2.00E-02,,
83,-2.00E-02,,
84,-2.00E-02,,
85,-2.00E-02,,
86,-2.00E-02,,
87,-2.00E-02,,
88,-2.00E-02,,
89,-2.00E-02,,
90,-2.00E-02,,
91,-2.00E-02,,
92,-2.00E-02,,
93,-2.00E-02,,
94,-2.00E-02,,
95,-2.00E-02,,
96,-2.00E-02,,
97,-2.00E-02,,
98,-2.00E-02,,
99,-2.00E-02,,
100,-2.00E-02,,
101,-2.00E-02,,
102,-2.00E-02,,
103,-2.00E-02,,
104,-2.00E-02,,
105,-2.00E-02,,
106,-2.00E-02,,
107,-2.00E-02,,
108,-2.00E-02,,
109,-2.00E-02,,
110,-2.00E-02,,
111,-2.00E-02,,
112,-2.00E-02,,
113,-2.00E-02,,
114,-2.00E-02,,
115,-2.00E-02,,
116,-2.00E-02,,
117,-2.00E-02,,
118,-2.00E-02,,
119,-2.00E-02,,
120,-2.00E-02,,
121,-2.00E-02,,
122,-2.00E-02,,
123,-2.00E-02,,
124,-2.00E-02,,
125,-2.00E-02,,
126,-2.00E-02,,
127,-2.00E-02,,
128,-2.00E-02,,
129,-2.00E-02,,
130,-2.00E-02,,
131,-2.00E-02,,
132,-2.00E-02,,
133,-2.00E-02,,
134,-2.00E-02,,
135,-2.00E-02,,
136,-2.00E-02,,
137,-2.00E-02,,
138,-2.00E-02,,
139,-2.00E-02,,
140,-2.00E-02,,
141,-2.00E-02,,
142,-2.00E-02,,
143,-2.00E-02,,
144,-2.00E-02,,
145,-2.00E-02,,
146,-2.00E-02,,
147,-2.00E-02,,
148,-2.00E-02,,
149,-2.00E-02,,
150,-2.00E-02,,
151,-2.00E-02,,
152,-2.00E-02,,
153,-2.00E-02,,
154,-2.00E-02,,
155,-2.00E-02,,
156,-2.00E-02,,
157,-2.00E-02,,
158,-2.00E-02,,
159,-2.00E-02,,
160,-2.00E-02,,
161,-2.00E-02,,
162,-2.00E-02,,
163,-2.00E-02,,
164,-2.00E-02,,
165,-2.00E-02,,
166,-2.00E-02,,
167,-2.00E-02,,
168,-2.00E-02,,
169,-2.00E-02,,
170,-2.00E-02,,
171,-2.00E-02,,
172,-2.00E-02,,
173,-2.00E-02,,
174,-2.00E-02,,
175,-2.00E-02,,
176,-2.00E-02,,
177,-2.00E-02,,
178,-2.00E-02,,
179,-2.00E-02,,
180,-2.00E-02,,
181,-2.00E-02,,
182,-2.00E-02,,
183,-2.00E-02,,
184,-2.00E-02,,
185,-2.00E-02,,
186,-2.00E-02,,
187,-2.00E-02,,
188,-2.00E-02,,
189,-2.00E-02,,
190,-2.00E-02,,
191,-2.00E-02,,
192,-2.00E-02,,
193,-2.00E-02,,
194,-2.00E-02,,
195,-2.00E-02,,
196,-2.00E-02,,
197,-2.00E-02,,
198,-2.00E-02,,
199,-2.00E-02,,
200,-2.00E-02,,
201,-2.00E-02,,
202,-2.00E-02,,
203,-2.00E-02,,
204,-2.00E-02,,
205,-2.00E-02,,
206,-2.00E-02,,
207,-2.00E-02,,
208,-2.00E-02,,
209,-2.00E-02,,
210,-2.00E-02,,
211,-2.00E-02,,
212,-2.00E-02,,
213,-2.00E-02,,
214,-2.00E-02,,
215,-2.00E-02,,
216,-2.00E-02,,
217,-2.00E-02,,
218,-2.00E-02,,
219,-2.00E-02,,
220,-2.00E-02,,
221,-2.00E-02,,
222,-2.00E-02,,
223,-2.00E-02,,
224,-2.00E-02,,
225,-2.00E-02,,
226,-2.00E-02,,
227,-2.00E-02,,
228,-2.00E-02,,
229,-2.00E-02,,
230,-2.00E-02,,
231,-2.00E-02,,
232,-2.00E-02,,
233,-2.00E-02,,
234,-2.00E-02,,
235,-2.00E-02,,
236,-2.00E-02,,
237,-2.00E-02,,
238,-2.00E-02,,
239,-2.00E-02,,
240,-2.00E-02,,
241,-2.00E-02,,
242,-2.00E-02,,
243,-2.00E-02,,
244,-2.00E-02,,
245,-2.00E-02,,
246,-2.00E-02,,
247,-2.00E-02,,
248,-2.00E-02,,
249,-2.00E-02,,
250,-2.00E-02,,
251,-2.00E-02,,
252,-2.00E-02,,
253,-2.00E-02,,
254,-2.00E-02,,
255,-2.00E-02,,
256,-2.00E-02,,
257,-2.00E-02,,
258,-2.00E-02,,
259,-2.00E-02,,
260,-2.00E-02,,
261,-2.00E-02,,
262,-2.00E-02,,
263,-2.00E-02,,
264,-2.00E-02,,
265,-2.00E-02,,
266,-2.00E-02,,
267,-2.00E-02,,
268,-2.00E-02,,
269,-2.00E-02,,
270,-2.00E-02,,
271,-2.00E-02,,
272,-2.00E-02,,
273,-2.00E-02,,
274,-2.00E-02,,
275,-2.00E-02,,
276,-2.00E-02,,
277,-2.00E-02,,
278,-2.00E-02,,
279,-2.00E-02,,
280,-2.00E-02,,
281,-2.00E-02,,
282,-2.00E-02,,
283,-2.00E-02,,
284,-2.00E-02,,
285,-2.00E-02,,
286,-2.00E-02,,
287,-2.00E-02,,
288,-2.00E-02,,
289,-2.00E-02,,
290,-2.00E-02,,
291,-2.00E-02,,
292,-2.00E-02,,
293,-2.00E-02,,
294,-2.00E-02,,
295,-2.00E-02,,
296,-2.00E-02,,
297,-2.00E-02,,
298,-2.00E-02,,
299,-2.00E-02,,
300,-2.00E-02,,
301,-2.00E-02,,
302,-2.00E-02,,
303,-2.00E-02,,
304,-2.00E-02,,
305,-2.00E-02,,
306,-2.00E-02,,
307,-2.00E-02,,
308,-2.00E-02,,
309,-2.00E-02,,
310,-2.00E-02,,
311,-2.00E-02,,
312,-2.00E-02,,
313,-2.00E-02,,
314,-2.00E-02,,
315,-2.00E-02,,
316,-2.00E-02,,
317,-2.00E-02,,
318,-2.00E-02,,
319,-2.00E-02,,
320,-2.00E-02,,
321,-2.00E-02,,
322,-2.00E-02,,
323,-2.00E-02,,
324,-2.00E-02,,
325,-2.00E-02,,
326,-2.00E-02,,
327,-2.00E-02,,
328,-2.00E-02,,
329,-2.00E-02,,
330,-2.00E-02,,
331,-2.00E-02,,
332,-2.00E-02,,
333,-2.00E-02,,
334,-2.00E-02,,
335,-2.00E-02,,
336,-2.00E-02,,
337,-2.00E-02,,
338,-2.00E-02,,
339,-2.00E-02,,
340,-2.00E-02,,
341,-2.00E-02,,
342,-2.00E-02,,
343,-2.00E-02,,
344,-2.00E-02,,
345,-2.00E-02,,
346,-2.00E-02,,
347,-2.00E-02,,
348,-2.00E-02,,
349,-2.00E-02,,
350,-2.00E-02,,
351,-2.00E-02,,
352,-2.00E-02,,
353,-2.00E-02,,
354,-2.00E-02,,
355,-2.00E-02,,
356,-2.00E-02,,
357,-2.00E-02,,
358,-2.00E-02,,
359,-2.00E-02,,
360,-2.00E-02,,
361,-2.00E-02,,
362,-2.00E-02,,
363,-2.00E-02,,
364,-2.00E-02,,
365,-2.00E-02,,
366,-2.00E-02,,
367,-2.00E-02,,
368,-2.00E-02,,
369,-2.00E-02,,
370,-2.00E-02,,
371,-2.00E-02,,
372,-2.00E-02,,
373,-2.00E-02,,
374,-2.00E-02,,
375,-2.00E-02,,
376,-2.00E-02,,
377,-2.00E-02,,
378,-2.00E-02,,
379,-2.00E-02,,
380,-2.00E-02,,
381,-2.00E-02,,
382,-2.00E-02,,
383,-2.00E-02,,
384,-2.00E-02,,
385,-2.00E-02,,
386,-2.00E-02,,
387,-2.00E-02,,
388,-2.00E-02,,
389,-2.00E-02,,
390,-2.00E-02,,
391,-2.00E-02,,
392,-2.00E-02,,
393,-2.00E-02,,
394,-2.00E-02,,
395,-2.00E-02,,
396,-2.00E-02,,
397,-2.00E-02,,
398,-2.00E-02,,
399,-2.00E-02,,
400,-2.00E-02,,
401,-2.00E-02,,
402,-2.00E-02,,
403,-2.00E-02,,
404,-2.00E-02,,
405,-2.00E-02,,
406,-2.00E-02,,
407,-2.00E-02,,
408,-2.00E-02,,
409,-2.00E-02,,
